name,circle_code,circle_cut,day,sells_commision,sells_comic,sells_artbook,sells_photobook_general,sells_novel,sells_game,sells_music,sells_goods,sells_handmade_crafts,sells_magazine,sells_photobook_cosplay,circle_facebook,circle_instagram,circle_twitter,circle_other_socials,marketplace_link,fandom,other_fandom,rating,sampleworks_images
Dosa Bersama,F-50b,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/dosa_bersama.jpg,Both Days,True,True,False,False,False,False,False,True,False,False,False,,https://www.instagram.com/nekipret/,https://twitter.com/nekipret,,,Ensemble Stars,Identity V Genshin Impact Honkai Star Rail,PG,
Dawet Anget,F-51a (SUN),https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/dawet_anget.jpg,SUN,False,False,False,False,False,False,False,True,False,False,False,,https://www.instagram.com/dawet_anget_?igsh=MTIzcWdibW5mN3N1cA==,https://x.com/dawet_anget_?t=5EPY2HOf_Qf99-Ce32LyTw&s=09,,,Ensemble Stars,"Boboiboy, Reverse1999, Project Sekai, Honkai Star Rail, Genshin Impact, Object Show",PG,
Megane Task Force Circle,F-51ab (SAT),https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/megane_task_force.jpg,SAT,False,False,True,False,False,False,False,True,False,False,False,https://www.facebook.com/MeganeTaskForce,https://www.instagram.com/megane_task_force_official/,https://twitter.com/MTF318_Official,,,OC,-,GA,['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/335d2a1d-ea84-4503-bb40-df33da72ecf4/d7a7ef0b-d577-4751-8689-ea24f406eeba/F-51ab (SAT).png']
MAW MAO MEOW,F-51b (SUN),https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/mawmaomeow.jpg,SUN,False,False,False,False,False,False,False,True,True,False,False,,https://www.instagram.com/mawmaomeow,,,,Ensemble Stars,"Haikyuu, Hololive, Honkai Star Rail, Ouran Highschool Host Club, Cats, Spy x Family, Sousou No Frieren, Bocchi The Rock",GA,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/e37b97cb-3e08-4e64-8b58-83623d2bc0bb/fd111f4e-64a9-443d-8143-b5da5a251872/F-51b (SUN).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/e37b97cb-3e08-4e64-8b58-83623d2bc0bb/4a19fd11-7d01-43fe-9983-e048d035fcd0/F-51b (SUN).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/e37b97cb-3e08-4e64-8b58-83623d2bc0bb/e1299dac-8aa1-4302-b68d-9ce8aff82d2c/F-51b (SUN).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/e37b97cb-3e08-4e64-8b58-83623d2bc0bb/f476b73c-b0d7-490c-a655-4cdc11faf085/F-51b (SUN).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/e37b97cb-3e08-4e64-8b58-83623d2bc0bb/2b68541b-7b71-4786-ac39-daf275452c09/F-51b (SUN).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/e37b97cb-3e08-4e64-8b58-83623d2bc0bb/8e14c31c-b325-411f-8624-b2a28c1bc248/F-51b (SUN).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/e37b97cb-3e08-4e64-8b58-83623d2bc0bb/812eb33b-f0c6-47cc-b9ca-a7cb38565b80/F-51b (SUN).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/e37b97cb-3e08-4e64-8b58-83623d2bc0bb/5e762db4-97cc-4698-92f3-e03f5894d176/F-51b (SUN).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/e37b97cb-3e08-4e64-8b58-83623d2bc0bb/96720d85-42e7-403c-aaaf-f5f24fd5866c/F-51b (SUN).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/e37b97cb-3e08-4e64-8b58-83623d2bc0bb/f819a516-1967-4d21-9e63-1a15746f2dd9/F-51b (SUN).png']"
Art Yeuh,F-52ab,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/art_yeuh.jpg,Both Days,False,False,True,False,False,False,False,True,False,False,False,,https://www.instagram.com/artyeuh.studio,,,,pokemon,-,GA,
selada gambar,F-53ab,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/selada_gambar.jpg,Both Days,True,False,False,False,False,False,False,True,False,False,False,,https://instagram.com/selada_gambar,,,,Pokemon,"Pokemom, Kirby, Made in Abyss, one piece, Valorant",GA,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/bfc80eec-744a-4ee6-9d33-c4f8ba67ff2d/1a3bc763-0875-4735-9485-19e1bb95849a/F-53ab.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/bfc80eec-744a-4ee6-9d33-c4f8ba67ff2d/2d8021f0-aa53-40ef-9261-f7181408352a/F-53ab.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/bfc80eec-744a-4ee6-9d33-c4f8ba67ff2d/42b8641f-eabf-44d4-9d94-67d34debec80/F-53ab.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/bfc80eec-744a-4ee6-9d33-c4f8ba67ff2d/d17a3e09-067f-432c-8c92-82df1ee82813/F-53ab.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/bfc80eec-744a-4ee6-9d33-c4f8ba67ff2d/411211b9-25be-4c86-9183-b9495e25c7b5/F-53ab.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/bfc80eec-744a-4ee6-9d33-c4f8ba67ff2d/7940b310-007a-47e6-929f-6bd0b7588f33/F-53ab.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/bfc80eec-744a-4ee6-9d33-c4f8ba67ff2d/0eb9e25e-10ed-4f4c-9f9b-3378d2eb1181/F-53ab.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/bfc80eec-744a-4ee6-9d33-c4f8ba67ff2d/cfd36ee8-ac11-4133-87cc-8353fd1ca22b/F-53ab.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/bfc80eec-744a-4ee6-9d33-c4f8ba67ff2d/64065447-0e61-4aaf-a62c-03c98b961d58/F-53ab.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/bfc80eec-744a-4ee6-9d33-c4f8ba67ff2d/005c0fd7-6944-46af-9ef6-f5b1eafc3c2a/F-53ab.jpg']"
KuliNara,F-54ab,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/kulinara.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,False,,https://www.instagram.com/kuli.nara,,,,Ensemble Stars,"Genshin Impact, Touken Ranbu, Tokusatsu",GA,
Matcha's Club x CLUB SANDVVICH,F-55a/F-56ab,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/matcha's_club.jpg,Both Days,False,False,False,False,False,False,False,True,True,False,False,,https://www.instagram.com/club.sandvvich/,,,,Multi-fandom western media,Anime,GA,
Gepengers,F-57ab,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/gepengers.jpg,Both Days,True,True,True,False,False,False,False,True,True,False,False,,https://www.instagram.com/sheinnlee?igsh=MXVxeG5zMDhoeWwwbg==,https://x.com/sheinnlee?s=21,,,Ensemble Stars,"Honkai Star Rail, Genshin Impact, Blue Lock",GA,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/3422f581-c0c4-4dad-8bdd-46e1744044d8/81b10be7-3aa1-4213-a2a8-944bcfa3154d/F-57ab.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/3422f581-c0c4-4dad-8bdd-46e1744044d8/a1799ca5-b682-42a8-a722-02890fd5a25c/F-57ab.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/3422f581-c0c4-4dad-8bdd-46e1744044d8/010e6580-1857-4db0-bf3e-a170b799e52c/F-57ab.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/3422f581-c0c4-4dad-8bdd-46e1744044d8/d9a5a4dc-59cd-460f-a4f9-0656757a16fb/F-57ab.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/3422f581-c0c4-4dad-8bdd-46e1744044d8/8bc7444f-1755-4fe9-aed3-84415dcbaaf7/F-57ab.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/3422f581-c0c4-4dad-8bdd-46e1744044d8/e95f3d9c-b429-48ba-8750-f84950cf2f57/F-57ab.png']"
Kingdomes el Satiro,F-58ab,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/kingdomes_el_satiro.jpg,Both Days,False,False,False,False,False,False,False,True,True,False,False,,,,,,Ensemble Stars,"Genshin Impact, ORV, Charisma House, Limbus Company, Jujutsu Kaisen, Helios Rising Heroes, Sengoku A Live, Chainsaw Man, Tokyo Revengers",PG,
